#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type
Al,2,365.49960000,6.28000000E+05,C,13.07672900,16.46794700,5,3,
Al,2,365.50160000,5.64000000E+06,C+,13.07672900,16.46792800,5,5,
Al,2,370.32250000,3.23000000E+07,B+,13.25646000,16.60351350,3,5,
Al,2,373.19540000,4.95000000E+06,C+,13.07134700,16.39263490,1,3,
Al,2,373.39030000,1.48000000E+07,C+,13.07308000,16.39263490,3,3,
Al,2,373.80120000,2.46000000E+07,C+,13.07672900,16.39263490,5,3,
Al,2,386.61680000,4.26000000E+07,B,13.25646000,16.46245240,3,1,
Al,2,390.06750000,4.80000000E+05,E,7.42070500,10.59833700,3,5,
Al,1,394.40060000,4.99000000E+07,B+,0.00000000,3.14272120,2,2,
Al,1,396.15201000,9.85000000E+07,B+,0.01389380,3.14272120,4,2,
Al,2,399.58370000,7.05000000E+06,C,15.06203400,18.16399100,7,9,
Al,2,399.60740000,7.85000000E+05,E,15.06203400,18.16380800,7,7,
Al,2,399.61410000,6.26000000E+06,D,15.06208600,18.16380800,5,7,
Al,2,399.62480000,3.10000000E+04,E,15.06203400,18.16367300,7,5,
Al,2,399.63150000,1.10000000E+06,E,15.06208600,18.16367300,5,5,
Al,2,399.63680000,5.91000000E+06,D,15.06212760,18.16367300,3,5,
Al,2,402.63180000,1.16000000E+07,C+,13.64939900,16.72787400,5,3,
Al,2,408.41410000,6.04000000E+05,C,15.06203400,18.09692500,7,5,
Al,2,408.42120000,1.08000000E+05,D,15.06208600,18.09692500,5,5,
Al,2,408.42670000,7.17000000E+03,E,15.06212760,18.09692500,3,5,
Al,2,410.54860000,5.30000000E+05,C,15.06208600,18.08119800,5,3,
Al,2,410.55420000,1.77000000E+05,D,15.06212760,18.08119800,3,3,
Al,2,411.54380000,7.01000000E+05,D,15.06212760,18.07393900,3,1,
Al,2,422.68160000,9.37000000E+06,C+,15.06203400,17.99448500,7,9,
Al,2,422.74200000,1.04000000E+06,D,15.06203400,17.99406600,7,7,
Al,2,422.74950000,8.31000000E+06,C+,15.06208600,17.99406600,5,7,
Al,2,422.78530000,4.11000000E+04,E,15.06203400,17.99376600,7,5,
Al,2,422.79280000,1.46000000E+06,D,15.06208600,17.99376600,5,5,
Al,2,422.79870000,7.85000000E+06,C,15.06212760,17.99376600,3,5,
Al,2,429.39430000,4.85000000E+05,C+,13.84126500,16.72787400,1,3,
Al,2,434.69030000,4.18000000E+06,D,15.30194100,18.15338000,5,7,
Al,2,434.72750000,4.28000000E+06,D,15.30218600,18.15338000,7,9,
Al,2,434.72750000,3.67000000E+05,E,15.30218600,18.15338000,7,7,
Al,2,434.78250000,5.58000000E+03,E,15.30254600,18.15338000,9,7,
Al,2,434.78250000,2.85000000E+05,E,15.30254600,18.15338000,9,9,
Al,2,434.78250000,4.56000000E+06,C,15.30254600,18.15338000,9,11,
Al,2,458.58180000,1.00000000E+07,C+,15.06203400,17.76492100,7,9,
Al,2,458.81100000,1.12000000E+06,D,15.06203400,17.76357100,7,7,
Al,2,458.81990000,8.91000000E+06,C+,15.06208600,17.76357100,5,7,
Al,2,458.95910000,4.40000000E+04,E,15.06203400,17.76269900,7,5,
Al,2,458.96800000,1.56000000E+06,D,15.06208600,17.76269900,5,5,
Al,2,458.97500000,8.41000000E+06,C,15.06212760,17.76269900,3,5,
Al,2,463.93700000,6.66000000E+06,C+,15.30194100,17.97363000,5,7,
Al,2,463.97900000,5.82000000E+05,D,15.30218600,17.97363000,7,7,
Al,2,463.97900000,6.79000000E+06,C+,15.30218600,17.97363000,7,9,
Al,2,464.04200000,4.52000000E+05,D,15.30254600,17.97363000,9,9,
Al,2,464.04200000,7.24000000E+06,C+,15.30254600,17.97363000,9,11,
Al,2,464.04200000,8.88000000E+03,E,15.30254600,17.97363000,9,7,
Al,2,466.30460000,5.81000000E+07,A+,10.59833700,13.25646000,5,3,
Al,2,514.44200000,1.17000000E+07,C+,15.30194100,17.71134000,5,7,
Al,2,514.49400000,1.03000000E+06,D,15.30218600,17.71134000,7,7,
Al,2,514.49400000,1.19000000E+07,C+,15.30218600,17.71134000,7,9,
Al,2,514.57100000,1.27000000E+07,C+,15.30254600,17.71134000,9,11,
Al,2,514.57100000,1.56000000E+04,E,15.30254600,17.71134000,9,7,
Al,2,514.57100000,7.96000000E+05,D,15.30254600,17.71134000,9,9,
Al,2,515.82300000,1.26000000E+07,C+,15.30839000,17.71134000,7,9,
Al,2,527.86800000,1.11000000E+06,D,15.58520300,17.93332000,1,3,
Al,2,528.02160000,1.49000000E+06,D,15.58590830,17.93334500,3,5,
Al,2,528.02700000,8.32000000E+05,D,15.58590830,17.93332000,3,3,
Al,2,528.37330000,2.00000000E+06,C,15.58750460,17.93337800,5,7,
Al,2,528.38090000,4.99000000E+05,D,15.58750460,17.93334500,5,5,
Al,2,528.38600000,5.53000000E+04,E,15.58750460,17.93332000,5,3,
Al,2,528.58380000,3.28000000E+06,C,15.60576890,17.95070900,3,5,
Al,2,538.86820000,1.43000000E+06,C+,15.04755610,17.34774300,1,3,
Al,1,555.70590000,2.30000000E+05,C,3.14272120,5.37321340,2,4,
Al,1,555.79440000,2.29000000E+05,C,3.14272120,5.37285820,2,2,
Al,2,559.33000000,9.26000000E+07,A,13.25646000,15.47250000,3,5,
Al,2,561.32900000,3.43000000E+06,C+,15.47250000,17.68064900,5,7,
Al,2,585.37600000,1.28000000E+07,B,15.06203400,17.17947000,7,9,
Al,2,586.17700000,1.14000000E+07,B,15.06208600,17.17663000,5,7,
Al,2,586.16200000,1.43000000E+06,C+,15.06203400,17.17663000,7,7,
Al,2,586.76400000,5.61000000E+04,D,15.06203400,17.17446000,7,5,
Al,2,586.77900000,1.99000000E+06,C+,15.06208600,17.17446000,5,5,
Al,2,586.79000000,1.07000000E+07,B,15.06212760,17.17446000,3,5,
Al,2,597.19700000,5.81000000E+06,C+,15.60576890,17.68129600,3,5,
Al,2,599.98700000,2.07000000E+06,C,15.58520300,17.65107700,1,3,
Al,2,600.18700000,2.79000000E+06,C,15.58590830,17.65109600,3,5,
Al,2,600.19200000,1.55000000E+06,D,15.58590830,17.65107700,3,3,
Al,2,600.64100000,3.71000000E+06,C+,15.58750460,17.65113200,5,7,
Al,2,600.65100000,9.28000000E+05,D,15.58750460,17.65109600,5,5,
Al,2,600.65700000,1.03000000E+05,E,15.58750460,17.65107700,5,3,
Al,2,606.11200000,8.38000000E+06,C,15.60576890,17.65077000,3,1,
Al,2,606.63600000,8.88000000E+05,D,15.58520300,17.62843800,1,3,
Al,2,606.84500000,2.66000000E+06,C,15.58590830,17.62843800,3,3,
Al,2,607.32000000,4.43000000E+06,C,15.58750460,17.62843800,5,3,
Al,2,618.15800000,2.41000000E+07,B+,15.30194100,17.30709000,5,7,
Al,2,618.23300000,2.44000000E+07,B+,15.30218600,17.30709000,7,9,
Al,2,618.23300000,2.09000000E+06,C+,15.30218600,17.30709000,7,7,
Al,2,618.34500000,1.63000000E+06,C+,15.30254600,17.30709000,9,9,
Al,2,618.34500000,2.61000000E+07,B+,15.30254600,17.30709000,9,11,
Al,2,618.34500000,3.21000000E+04,D,15.30254600,17.30709000,9,7,
Al,2,620.15300000,2.59000000E+07,B+,15.30839000,17.30709000,7,9,
Al,2,622.61900000,6.25000000E+07,B+,13.07134700,15.06212760,1,3,
Al,2,623.16200000,4.67000000E+07,B+,13.07308000,15.06212760,3,3,
Al,2,623.17500000,8.40000000E+07,A,13.07308000,15.06208600,3,5,
Al,2,624.30700000,3.11000000E+06,C+,13.07672900,15.06212760,5,3,
Al,2,624.32000000,2.79000000E+07,B+,13.07672900,15.06208600,5,5,
Al,2,624.33700000,1.11000000E+08,A,13.07672900,15.06203400,5,7,
Al,2,631.99000000,2.16000000E+05,C+,15.30839000,17.26965400,7,5,
Al,2,633.57100000,1.53000000E+07,B,13.64939900,15.60576890,5,3,
Al,2,649.31300000,2.16000000E+03,E,15.30194100,17.21088100,5,7,
Al,2,649.32300000,9.59000000E+05,C+,15.30194100,17.21085000,5,3,
Al,2,649.32300000,1.07000000E+05,C,15.30194100,17.21085000,5,5,
Al,2,649.39600000,7.64000000E+04,C,15.30218600,17.21088100,7,7,
Al,2,649.40700000,8.52000000E+05,C+,15.30218600,17.21085000,7,5,
Al,2,649.51900000,8.80000000E+05,C+,15.30254600,17.21088100,9,7,
Al,2,660.98100000,2.20000000E+06,C+,15.47250000,17.34774300,5,3,
Al,1,669.60180000,1.00000000E+06,C+,3.14272120,4.99382100,2,4,
Al,2,669.64302000,2.74000000E+05,C+,14.88962430,16.74061020,3,5,
Al,1,669.86670000,1.00000000E+06,C+,3.14272120,4.99308890,2,2,
Al,2,669.93138000,2.73000000E+05,C,14.88962430,16.73981350,3,3,
Al,2,670.08477000,2.74000000E+05,C,14.88962430,16.73938990,3,1,
Al,2,681.68900000,1.20000000E+07,B,13.07134700,14.88962430,1,3,
Al,2,682.33900000,3.59000000E+07,B+,13.07308000,14.88962430,3,3,
Al,2,683.71300000,5.94000000E+07,B+,13.07672900,14.88962430,5,3,
Al,1,690.56380000,1.08000000E+06,D,4.02148360,5.81639400,4,6,
Al,1,690.62790000,7.69000000E+04,E,4.02165020,5.81639400,6,6,
Al,1,690.62790000,1.15000000E+06,C,4.02165020,5.81639400,6,8,
Al,2,691.79300000,9.90000000E+06,B+,15.47250000,17.26422220,5,7,
Al,2,692.03400000,1.00000000E+08,A,13.25646000,15.04755610,3,1,
Al,2,702.46400000,2.15000000E+05,C+,13.84126500,15.60576890,1,3,
Al,2,704.20800000,5.78000000E+07,A+,11.31659600,13.07672900,3,5,
Al,2,705.67100000,5.74000000E+07,A,11.31659600,13.07308000,3,3,
Al,2,706.36800000,5.73000000E+07,A,11.31659600,13.07134700,3,1,
Al,1,708.39690000,1.54000000E+06,C+,4.02148360,5.77120930,4,6,
Al,1,708.46430000,1.10000000E+05,E,4.02165020,5.77120930,6,6,
Al,1,708.46430000,1.65000000E+06,C+,4.02165020,5.77120930,6,8,
Al,2,713.28900000,2.59000000E+06,C,16.54416800,18.28189000,5,7,
Al,2,713.56300000,2.27000000E+05,E,16.54483300,18.28189000,7,7,
Al,2,713.56300000,2.64000000E+06,C,16.54483300,18.28189000,7,9,
Al,2,713.91900000,3.45000000E+03,E,16.54570000,18.28189000,9,7,
Al,2,713.91900000,1.75000000E+05,E,16.54570000,18.28189000,9,9,
Al,2,713.91900000,2.81000000E+06,C,16.54570000,18.28189000,9,11,
Al,2,725.93100000,2.68000000E+06,C,16.57442800,18.28189000,7,9,
Al,2,727.28300000,1.50000000E+05,C,16.39263490,18.09692500,3,5,
Al,2,730.81500000,2.56000000E+06,C,16.46794000,18.16399100,7,9,
Al,2,730.89000000,2.27000000E+06,C,16.46792800,18.16380800,5,7,
Al,2,730.89400000,2.85000000E+05,E,16.46794000,18.16380800,7,7,
Al,2,730.94800000,3.99000000E+05,E,16.46792800,18.16367300,5,5,
Al,2,730.95300000,1.12000000E+04,E,16.46794000,18.16367300,7,5,
Al,2,730.95600000,2.15000000E+06,C,16.46794700,18.16367300,3,5,
Al,1,732.74720000,3.66000000E+05,D,4.08525540,5.77683500,2,4,
Al,1,733.56450000,4.37000000E+05,C,4.08721830,5.77691400,4,6,
Al,1,733.59850000,7.28000000E+04,E,4.08721830,5.77683500,4,4,
Al,2,734.05600000,1.46000000E+05,C,16.39263490,18.08119800,3,3,
Al,1,736.15680000,2.32000000E+06,C+,4.02148360,5.70522890,4,6,
Al,1,736.22960000,1.66000000E+05,D,4.02165020,5.70522890,6,6,
Al,1,736.22960000,2.49000000E+06,C+,4.02165020,5.70522890,6,8,
Al,2,737.22600000,1.44000000E+05,D,16.39263490,18.07393900,3,1,
Al,2,737.65900000,4.80000000E+05,C+,15.04755610,16.72787400,1,3,
Al,2,738.42400000,1.06000000E+06,C+,15.06203400,16.74061020,7,5,
Al,2,738.44700000,1.88000000E+05,C+,15.06208600,16.74061020,5,5,
Al,2,738.46495000,1.25000000E+04,D,15.06212760,16.74061020,3,5,
Al,2,738.79800000,9.40000000E+05,C+,15.06208600,16.73981350,5,3,
Al,2,738.81564000,3.14000000E+05,C+,15.06212760,16.73981350,3,3,
Al,2,739.00220000,1.25000000E+06,C+,15.06212760,16.73938990,3,1,
Al,2,744.94400000,1.16000000E+07,A,15.60576890,17.26965400,3,5,
Al,2,747.14100000,5.57000000E+07,B+,13.64939900,15.30839000,5,7,
Al,1,760.61620000,4.36000000E+05,D,4.08525540,5.71485620,2,4,
Al,2,760.89900000,3.09000000E+04,D,16.46792800,18.09692500,5,5,
