#element,sp_num,g,Level(eV),Uncertainty(eV)
Cu,1,6,5.50568200,4.00000000E-06
Cu,1,4,5.52277200,4.00000000E-06
Cu,1,2,5.56883500,5.00000000E-06
Cu,1,6,5.42136300,4.00000000E-06
Cu,1,8,5.57473400,4.00000000E-06
Cu,1,2,5.68107300,4.00000000E-06
Cu,1,4,5.68831100,4.00000000E-06
Cu,1,4,5.72470900,4.00000000E-06
Cu,1,6,5.77745900,4.00000000E-06
Cu,1,4,6.12270490,2.10000000E-06
Cu,1,2,6.12274440,9.00000000E-07
Cu,1,4,6.19117510,1.60000000E-06
Cu,1,6,6.19202520,1.60000000E-06
Cu,1,2,6.55241000,4.00000000E-07
Cu,1,4,6.79235840,6.00000000E-07
Cu,1,2,6.82257300,9.00000000E-07
Cu,1,4,6.86719550,6.00000000E-07
Cu,1,6,6.86764560,6.00000000E-07
Cu,1,8,6.87199210,1.60000000E-06
Cu,1,6,6.87235980,1.60000000E-06
Cu,1,8,6.94682100,9.00000000E-06
Cu,1,6,7.20588400,9.00000000E-06
Cu,1,4,6.98571900,6.00000000E-06
Cu,1,2,7.23629600,9.00000000E-06
Cu,1,6,7.02388000,5.00000000E-06
Cu,1,4,7.27674500,6.00000000E-06
Cu,1,2,7.02635530,1.60000000E-06
Cu,1,2,7.11907800,6.00000000E-06
Cu,1,4,7.18470680,2.10000000E-06
Cu,1,4,7.17781660,1.00000000E-06
Cu,1,6,7.17806810,1.20000000E-06
Cu,1,6,7.17931950,7.00000000E-07
Cu,1,8,7.18021670,7.00000000E-07
Cu,1,8,7.18167670,1.60000000E-06
Cu,1,10,7.18167670,1.60000000E-06
Cu,1,2,7.26161800,1.40000000E-05
Cu,1,4,7.34598100,3.00000000E-06
Cu,1,6,7.34613330,2.20000000E-06
Cu,1,8,7.34722500,3.00000000E-06
Cu,1,6,7.34728750,2.50000000E-06
Cu,1,8,7.34813590,1.50000000E-06
Cu,1,10,7.34813590,1.50000000E-06
Cu,1,22,7.34834750,1.90000000E-06
Cu,1,4,7.34916200,6.00000000E-06
Cu,1,2,7.35508000,7.00000000E-06
Cu,1,2,7.39539300,1.50000000E-05
Cu,1,4,7.44717400,1.90000000E-05
Cu,1,6,7.44728200,1.60000000E-05
Cu,1,4,7.44775200,6.00000000E-06
Cu,1,2,7.44956900,7.00000000E-06
Cu,1,8,7.44791380,1.20000000E-06
Cu,1,6,7.44793340,1.70000000E-06
Cu,1,8,7.44850620,2.00000000E-06
Cu,1,10,7.44850620,2.00000000E-06
Cu,1,22,7.44864300,4.00000000E-06
Cu,1,6,7.51267000,6.00000000E-06
Cu,1,4,7.51276300,1.90000000E-05
Cu,1,6,7.51282500,1.00000000E-05
Cu,1,4,7.51283500,5.00000000E-06
Cu,1,2,7.51359000,7.00000000E-06
Cu,1,4,7.55762000,5.00000000E-06
Cu,1,2,7.55799900,7.00000000E-06
Cu,1,4,7.55769400,2.00000000E-05
Cu,1,6,7.55774400,2.40000000E-05
Cu,1,4,7.58970900,1.00000000E-05
Cu,1,2,7.58992300,7.00000000E-06
Cu,1,6,7.58984000,4.00000000E-05
Cu,1,4,7.61346700,9.00000000E-06
Cu,1,2,7.61355800,1.00000000E-05
Cu,1,4,7.63153000,1.60000000E-05
Cu,1,2,7.63156200,2.50000000E-05
Cu,1,4,7.64559200,2.40000000E-05
Cu,1,2,7.64560000,3.00000000E-05
Cu,1,4,7.65673200,2.40000000E-05
Cu,1,2,7.65674000,3.00000000E-05
Cu,1,6,7.66572500,1.00000000E-05
Cu,1,6,7.67307800,1.00000000E-05
Cu,1,6,7.67917100,1.00000000E-05
Cu,1,2,7.68153000,4.00000000E-05
Cu,1,6,7.68427800,1.00000000E-05
Cu,1,2,7.68625000,4.00000000E-05
