# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Cu,1,406.26378,2.10e+07,C,3.8166920,6.8676456,4,6,,
Cu,2,416.5775,2.1e-12,C+,0.0000000,2.97541889,1,3,M1,
Cu,2,422.79397,5.1e+05,B,8.91695547,11.8486267,7,9,,
Cu,1,424.8956,1.95e+07,C+,5.076382,7.993553,2,2,,
Cu,1,427.5108,3.45e+07,C+,4.837701,7.737027,6,8,,
Cu,2,437.5690,9.e-02,D+,0.0000000,2.83268156,1,5,E2,
Cu,1,448.03494,3.0e+06,C,3.7858977,6.5524100,2,2,,
Cu,2,450.59996,6.3e+05,C,8.23486741,10.9856318,5,3,,
Cu,1,450.9382,2.75e+07,C+,5.244851,7.993553,4,2,,
Cu,1,453.07828,8.4e+06,C+,3.8166920,6.5524100,4,2,,
Cu,1,453.9699,2.12e+07,C+,5.153147,7.883492,6,4,,
Cu,2,455.59193,7.1e+05,C,8.23486741,10.9554919,5,5,,
Cu,1,458.6967,3.20e+07,C+,5.102380,7.804590,8,6,,
Cu,1,465.1122,3.80e+07,C+,5.072089,7.737027,10,8,,
Cu,2,467.170176,5.6e+07,D+,14.19758413,16.85078224,3,5,,
Cu,2,467.35774,1.6e+08,D+,14.19758413,16.8497175,3,1,,
Cu,2,468.19935,1.1e+08,D+,14.19758413,16.84495017,3,3,,
Cu,1,470.4597,5.5e+06,C+,5.102380,7.737027,8,8,,
Cu,2,475.84334,1.3e+06,C,8.42057990,11.0254191,3,1,,
Cu,2,481.29474,1.3e+08,D+,14.53484133,17.1101772,3,5,,
Cu,2,483.22439,2.5e+05,C,8.42057990,10.9856318,3,3,,
Cu,2,485.12617,2.9e+07,D+,14.34033006,16.89532667,9,9,,
Cu,2,485.498743,3.5e+07,D+,14.32872921,16.88176511,11,11,,
Cu,2,487.33035,2.4e+07,D+,14.59881086,17.14225144,7,7,,
Cu,2,488.96998,1.9e+05,C,8.42057990,10.9554919,3,5,,
Cu,2,490.142634,6.2e+07,D+,14.33738437,16.86623170,5,7,,
Cu,2,490.656612,4.4e+07,D+,14.33738437,16.86358269,5,5,,
Cu,2,490.973351,2.04e+08,B+,14.32872921,16.85329783,11,13,,
Cu,2,491.291987,6.0e+07,D+,14.34065139,16.86358269,3,5,,
Cu,2,491.58312,2.5e+07,D+,14.61564148,17.13707861,9,9,,
Cu,2,491.83778,2.9e+08,C,14.59881086,17.1189425,7,9,,
Cu,2,492.64232,9.e+07,D+,14.34065139,16.85666744,3,3,,
Cu,2,493.155505,7.1e+07,D+,14.33738437,16.85078224,5,5,,
Cu,2,493.16981,1.9e+08,C,14.34033006,16.85365501,9,11,,
Cu,2,493.722031,1.1e+08,D+,14.62123579,17.13174967,3,5,,
Cu,2,493.797372,2.8e+07,D+,14.34065139,16.85078224,3,5,,
Cu,2,494.30250,4.0e+07,D+,14.33738437,16.84495017,5,3,,
Cu,2,495.37246,3.1e+08,C,14.61564148,17.1177912,9,11,,
Cu,2,496.98046,1.1e+07,D+,14.42257530,16.9166293,7,7,,
Cu,2,497.36959,3.6e+07,D+,14.62123579,17.1133386,3,3,,
Cu,2,497.41533,3.0e+07,D+,14.65037786,17.14225144,5,7,,
Cu,2,498.51381,2.1e+07,D+,14.43024652,16.9166293,5,7,,
Cu,2,498.550498,9.7e+07,C+,14.39211349,16.87831334,7,9,,
Cu,2,498.8326,5.7e+06,D+,16.95184535,19.4366390,11,13,,
Cu,2,500.679978,1.20e+08,C+,14.65037786,17.12600360,5,7,,
Cu,2,500.985058,5.4e+07,D+,14.39211349,16.86623170,7,7,,
Cu,2,501.26199,9.6e+07,C+,14.42257530,16.89532667,7,9,,
Cu,2,502.127849,3.2e+07,E,14.39211349,16.86060093,7,7,,
Cu,2,503.90141,3.9e+07,D+,14.65037786,17.1101772,5,5,,
Cu,2,504.133123,1.6e+07,D+,14.39211349,16.85078224,7,5,,
Cu,2,505.179209,1.55e+08,C+,14.42818752,16.88176511,9,11,,
Cu,2,505.890923,4.8e+07,D+,14.42818752,16.87831334,9,9,,
